,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lengua,1.1,1.2,1.2.1,1.2.2,1.3,1.4,1.5,1.5.1,1.5.2,1.6,1.7,1.8,1.8.1,1.8.2,1.9,1.10.,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20.,2.1,2.1.1,2.1.2,2.1.3,3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6
Ashaninka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iquito,1,d,b,c,c,e,d,b,c,c,e,d,b,a,c,e,a,1,1,?,?,?,?,?,-,1,0,-,-,-,0,-,-,-,-,-,-
Kukama-kukamiria,1,d,c,a,c,e,d,c,a,c,e,e,c,a,c,e,a,1,1,1,1,?,0,0,-,1,0,-,-,-,0,-,-,-,-,-,-
Murui,1,b,b,a,c,e,b,b,a,c,e,g,-,-,d,e,-,1,0,0,0,0,0,0,-,0,0,-,-,-,0,-,-,-,-,-,-
Shipibo-konibo,0,-,-,-,b,e,-,-,-,b,e,-,-,-,d,e,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-
Shiwilu,1,b,b,a,c,e,b,b,a,c,e,1,b,a,c,e,d,1,1,0,1,0,0,0,-,1,0,-,-,-,0,-,-,-,-,-,-
Urarina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wampís,1,b,b,a,c,e,b,b,a,c,e,b,b,a,c,e,,a,,,,,,,-,0,1,0,1,0,0,-,-,-,-,-,-
Yagua,1,f,b,c,c,e,d,b,c,c,e,e,b,c,c,e,a,d,,,,,,,-,1,0,-,-,-,1,c,c,0,c,1,-
Yanesha,1,c,b,a,c,e,a,b,a,c,e,b,b,a,c,e,a,?,,,,,,,-,0,0,-,-,-,1,c,c,0,c,1,-
